obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2667.5439""","=""0.0002""","=""2667.54376""","=""0.00011""","=""9000""","=""5.9e+07""",C+,"=""60807.239""","=""98294.909""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2667.7053""","=""0.0013""","=""2667.70534""","=""0.00012""","=""2900""","=""1.7e+06""",D,"=""25787.5816""","=""63272.981""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2667.8533""","=""0.0007""","=""2667.85404""","=""0.00014""","=""1200""","=""1.8e+07""",D+,"=""67273.833""","=""104757.143""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""","=""3d6.(5D).5d""","=""6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2668.01141""","=""0.00017""","=""2668.01120""","=""0.00011""","=""23000""","=""1.02e+08""",C+,"=""47389.809""","=""84870.911""","=""3d6.(5D).4p""","=""z 4P*""","=""3/2""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2668.1827""","=""0.0011""","=""2668.18348""","=""0.00021""","=""400""","=""3.0e+06""",D+,"=""73091.630""","=""110570.312""","=""3d6.(1G2).4p""","=""w 2G*""","=""9/2""","=""3d6.(3G).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2668.314""","=""0.005""","=""2668.31433""","=""0.00012""","=""190d,bl(Fe I)?""","=""2.6e+06""",D+,"=""63272.981""","=""100749.825""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2668.4095""","=""0.0007""","=""2668.40996""","=""0.00012""","=""2000""","=""2.3e+07""",D+,"=""61093.406""","=""98568.907""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3H).5s""","=""e 4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2668.581""","=""0.005""","=""2668.58378""","=""0.00014""","=""160d?""","=""""",,"=""66463.542""","=""103936.602""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(5D).5d""","=""6F""","=""11/2""",,"=""""","=""L18349c143""",
"=""2669.0410""","=""0.0016""","=""2669.03976""","=""0.00012""","=""500""","=""6.5e+06""",D+,"=""66411.712""","=""103878.370""","=""3d6.(3G).4p""","=""y 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4I""","=""15/2""",,"=""T6892c83""","=""L18349c139""",
"=""2669.227""","=""0.005""","=""2669.22713""","=""0.00012""","=""130d?""","=""""",,"=""66522.310""","=""103986.338""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(3H).4d""","=""4H""","=""7/2""",,"=""""","=""L18349c142""",
"=""2669.3262""","=""0.0009""","=""2669.32681""","=""0.00015""","=""1100""","=""5.4e+07""",D+,"=""67273.833""","=""104736.462""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""","=""3d6.(3P2).4d""","=""2P""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2669.4138""","=""0.0011""","=""2669.41531""","=""0.00014""","=""1000""","=""9.e+06""",D+,"=""65363.607""","=""102824.994""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3G).5s""","=""f 4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2669.7027""","=""0.0002""","=""2669.70308""","=""0.00012""","=""9000bl(Fe I)""","=""4.0e+07""",C+,"=""60837.560""","=""98294.909""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
"=""2669.80149""","=""0.00016""","=""2669.80165""","=""0.00012""","=""12000""","=""8.3e+07""",C+,"=""60989.444""","=""98445.410""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(3H).5s""","=""e 4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2670.14873""","=""0.00014""","=""2670.14911""","=""0.00014""","=""2300""","=""""",,"=""85495.366""","=""122946.458""","=""3d6.(5D).4d""","=""6S""","=""5/2""","=""3d6.(3H<6>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
"=""2670.7269""","=""0.0013""","=""2670.7300""","=""0.0006""","=""2500""","=""5.2e+07""",D+,"=""49100.956""","=""86543.902""","=""3d6.(3P1).4s""","=""c 4P""","=""1/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""2671.1783""","=""0.0009""","=""2671.17704""","=""0.00021""","=""2500""","=""6.0e+06""",D+,"=""38164.220""","=""75600.900""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2671.827""","=""0.005""","=""2671.82371""","=""0.00015""","=""500""","=""2.3e+06""",D,"=""54902.286""","=""92329.905""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2671.868""","=""0.005""","=""2671.87033""","=""0.00021""","=""110d?""","=""4.4e+06""",D+,"=""73143.346""","=""110570.312""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""","=""3d6.(3G).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2671.965""","=""0.005""","=""2671.96328""","=""0.00021""","=""310d?""","=""7.e+05""",D,"=""54904.241""","=""92329.905""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2672.1859""","=""0.0003""","=""2672.18598""","=""0.00012""","=""12000""","=""6.5e+07""",D+,"=""47626.110""","=""85048.655""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2672.33681""","=""0.00014""","=""2672.33672""","=""0.00013""","=""16000""","=""""",,"=""73189.114""","=""110609.548""","=""3d6.(3D).4p""","=""y 2P*""","=""3/2""","=""3d6.(3G).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""2672.7164""","=""0.0002""","=""2672.71641""","=""0.00012""","=""7000""","=""8.8e+07""",C+,"=""62158.126""","=""99573.244""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2672.8062""","=""0.0012""","=""2672.80685""","=""0.00016""","=""400""","=""5.1e+06""",D+,"=""72651.914""","=""110065.766""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2672.93351""","=""0.00018""","=""2672.93345""","=""0.00012""","=""11000""","=""9.1e+07""",C+,"=""61156.827""","=""98568.907""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3H).5s""","=""e 4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2673.028""","=""0.002""","=""2673.03069""","=""0.00012""","=""400""","=""2.0e+06""",D+,"=""66463.542""","=""103874.261""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3H).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2673.106""","=""0.005""","=""2673.10193""","=""0.00013""","=""900d?""","=""""",,"=""26055.4120""","=""63465.134""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""2673.27486""","=""0.00014""","=""2673.27479""","=""0.00012""","=""18000""","=""9.2e+07""",C+,"=""60887.606""","=""98294.909""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2673.3421""","=""0.0003""","=""2673.34225""","=""0.00021""","=""1300""","=""6.7e+07""",D+,"=""73054.913""","=""110461.272""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""","=""3d6.(3G).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2673.458""","=""0.005""","=""2673.45789""","=""0.00021""","=""290d?""","=""""",,"=""32909.883""","=""70314.624""","=""3d6.(1I).4s""","=""a 2I""","=""11/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2673.687""","=""0.005""","=""2673.68098""","=""0.00013""","=""160d?""","=""""",,"=""62171.624""","=""99573.244""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""",,"=""""","=""L18349c142""",
"=""2673.7790""","=""0.0018""","=""2673.78078""","=""0.00012""","=""500""","=""4.1e+06""",D+,"=""67516.328""","=""104916.552""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2673.884""","=""0.005""","=""2673.8801""","=""0.0005""","=""270bl(Fe I)""","=""""",,"=""65696.053""","=""103094.888""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d5.4s.(7S).5s""","=""8S""","=""7/2""",,"=""""","=""L18349c143""",
"=""2674.218""","=""0.005""","=""2674.22388""","=""0.00012""","=""130d?""","=""1.0e+06""",D,"=""66377.315""","=""103771.342""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c142""",
"=""2674.720""","=""0.005""","=""2674.7085""","=""0.0014""","=""270d?""","=""1.9e+06""",D,"=""57493.333""","=""94880.585""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""T6892c83""","=""L18349c143""",
"=""2674.888""","=""0.005""","=""2674.88820""","=""0.00012""","=""130d?""","=""1.8e+06""",D+,"=""66589.042""","=""103973.782""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""","=""3d6.(3H).4d""","=""4K""","=""11/2""",,"=""T6892c83""","=""L18349c142""",
"=""2675.3527""","=""0.0015""","=""2675.35415""","=""0.00021""","=""2600""","=""1.1e+06""",D,"=""54904.241""","=""92282.470""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2675.816""","=""0.005""","=""2675.81173""","=""0.00016""","=""310""","=""1.5e+06""",D,"=""54902.286""","=""92274.123""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d6.(3P1).4p""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2675.868""","=""0.005""","=""2675.86808""","=""0.00012""","=""350d?""","=""""",,"=""23031.2829""","=""60402.333""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2675.9181""","=""0.0009""","=""2675.91778""","=""0.00014""","=""1100""","=""2.5e+07""",D+,"=""66672.336""","=""104042.692""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2676.2357""","=""0.0007""","=""2676.23617""","=""0.00012""","=""1900""","=""2.0e+07""",D+,"=""62322.445""","=""99688.355""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).5s""","=""f 4F""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2676.654""","=""0.005""","=""2676.65072""","=""0.00017""","=""200d?""","=""""",,"=""50212.836""","=""87572.959""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2677.015""","=""0.002""","=""2677.01723""","=""0.00014""","=""1700""","=""""",,"=""54870.541""","=""92225.549""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(5D).5p""","=""4P*""","=""3/2""",,"=""""","=""L18349c139""",
"=""2677.2186""","=""0.0008""","=""2677.21891""","=""0.00013""","=""1100""","=""3.9e+06""",D+,"=""67516.328""","=""104868.522""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2677.300""","=""0.005""","=""2677.29510""","=""0.00022""","=""110d?""","=""""",,"=""70986.667""","=""108337.798""","=""3d6.(1I).4p""","=""z 2K*""","=""13/2""","=""3d6.(3G).4d""","=""4I""","=""15/2""",,"=""""","=""L18349c142""",
"=""2677.6747""","=""0.0012""","=""2677.67369""","=""0.00022""","=""3000""","=""8.6e+07""",C,"=""54870.541""","=""92216.391""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(3P1).4p""","=""u 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2677.867""","=""0.005""","=""2677.86593""","=""0.00015""","=""170d?""","=""3.7e+06""",D+,"=""65696.053""","=""103039.222""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3G).5s""","=""f 4G""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2678.087""","=""0.005""","=""2678.09607""","=""0.00013""","=""160d""","=""""",,"=""66411.712""","=""103751.672""","=""3d6.(3G).4p""","=""y 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""""","=""L18349c143""",
"=""2678.6244""","=""0.0008""","=""2678.62440""","=""0.00014""","=""1200""","=""2.1e+07""",D+,"=""66589.042""","=""103921.637""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2679.198""","=""0.005""","=""2679.19401""","=""0.00011""","=""310""","=""""",,"=""42114.8380""","=""79439.496""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""",,"=""""","=""L18349c142""",
"=""2679.297""","=""0.005""","=""2679.29414""","=""0.00015""","=""310d?""","=""""",,"=""54902.286""","=""92225.549""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d6.(5D).5p""","=""4P*""","=""3/2""",,"=""""","=""L18349c143""",
"=""2679.6820""","=""0.0008""","=""2679.68106""","=""0.00012""","=""1100""","=""4.2e+06""",D+,"=""69606.567""","=""106924.441""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2679.959""","=""0.002""","=""2679.95912""","=""0.00013""","=""600""","=""1.8e+07""",D+,"=""66672.336""","=""103986.338""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""","=""3d6.(3H).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2680.1628""","=""0.0016""","=""2680.16325""","=""0.00013""","=""700""","=""""",,"=""66672.336""","=""103983.496""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""""","=""L18349c139""",
"=""2680.4047""","=""0.0006""","=""2680.40463""","=""0.00012""","=""1700""","=""2.6e+07""",D+,"=""66463.542""","=""103771.342""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2680.5724""","=""0.0007""","=""2680.57240""","=""0.00012""","=""2500""","=""1.4e+07""",D+,"=""60989.444""","=""98294.909""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2680.754""","=""0.005""","=""2680.7568""","=""0.0003""","=""140d?""","=""""",,"=""69102.427""","=""106405.326""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d5.(6S).4p2""","=""8P""","=""5/2""",,"=""""","=""L18349c143""",
"=""2681.0285""","=""0.0010""","=""2681.02848""","=""0.00011""","=""4000""","=""1.10e+07""",C,"=""46967.4751""","=""84266.594""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).4d""","=""6P""","=""7/2""",,"=""T7186""","=""L18349c139""",
"=""2681.413""","=""0.005""","=""2681.41042""","=""0.00013""","=""140d?""","=""1.3e+06""",D,"=""69606.567""","=""106900.373""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2681.49896""","=""0.00013""","=""2681.49886""","=""0.00012""","=""24000""","=""9.3e+07""",B+,"=""60837.560""","=""98130.136""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).5s""","=""e 4H""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2681.599""","=""0.005""","=""2681.58803""","=""0.00012""","=""900d?""","=""8.e+05""",D,"=""25981.6451""","=""63272.981""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2681.6203""","=""0.0005""","=""2681.62031""","=""0.00013""","=""2200""","=""3.6e+07""",C+,"=""67516.328""","=""104807.215""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(3H).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2681.666""","=""0.005""","=""2681.66763""","=""0.00013""","=""150d?""","=""2.1e+06""",D+,"=""68000.785""","=""105291.014""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(3F2).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2681.7862""","=""0.0006""","=""2681.78600""","=""0.00012""","=""2400""","=""1.2e+07""",D+,"=""61156.827""","=""98445.410""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3H).5s""","=""e 4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2681.8197""","=""0.0009""","=""2681.81858""","=""0.00013""","=""1000""","=""2.0e+07""",D+,"=""66463.542""","=""103751.672""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2681.8402""","=""0.0010""","=""2681.8402""","=""0.0010""","=""2600""","=""1.1e+08""",D+,"=""49100.956""","=""86388.786""","=""3d6.(3P1).4s""","=""c 4P""","=""1/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2682.0274""","=""0.0016""","=""2682.02796""","=""0.00012""","=""700""","=""2.0e+07""",D+,"=""66589.042""","=""103874.261""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""","=""3d6.(3H).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2682.045""","=""0.002""","=""2682.04667""","=""0.00018""","=""290""","=""""",,"=""73143.346""","=""110428.305""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c139""",
"=""2682.138""","=""0.005""","=""2682.14349""","=""0.00017""","=""230d?""","=""""",,"=""54870.541""","=""92154.154""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2682.836""","=""0.005""","=""2682.83544""","=""0.00013""","=""110d,bl(Fe II)?*""","=""""",,"=""57411.086""","=""94685.083""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2682.836""","=""0.005""","=""2682.8385""","=""0.0003""","=""110d,bl(Fe II)?*""","=""2.4e+06""",D,"=""73187.318""","=""110461.272""","=""3d6.(3D).4p""","=""y 2P*""","=""1/2""","=""3d6.(3G).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""2683.064""","=""0.005""","=""2683.0644""","=""0.0003""","=""340""","=""""",,"=""37227.277""","=""74498.093""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""","=""3d6.(3D).4p""","=""x 2D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2683.205""","=""0.005""","=""2683.21509""","=""0.00014""","=""170d?""","=""3.7e+05""",D,"=""65556.271""","=""102824.994""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3G).5s""","=""f 4G""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
"=""2683.3068""","=""0.0005""","=""2683.30682""","=""0.00022""","=""7000""","=""9.2e+07""",C+,"=""54904.241""","=""92171.690""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d6.(3F1).4p""","=""u 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2683.7926""","=""0.0008""","=""2683.7934""","=""0.0003""","=""4000""","=""7.3e+07""",C+,"=""49506.922""","=""86767.614""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2683.8299""","=""0.0018""","=""2683.82864""","=""0.00012""","=""500""","=""3.8e+06""",D+,"=""69606.567""","=""106866.770""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2683.880""","=""0.003""","=""2683.8790""","=""0.0003""","=""250""","=""9.e+06""",D+,"=""72130.375""","=""109389.879""","=""3d6.(1G2).4p""","=""x 2H*""","=""9/2""","=""3d6.(3G).4d""","=""2I""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2684.303""","=""0.005""","=""2684.30274""","=""0.00015""","=""350""","=""""",,"=""22409.8178""","=""59663.440""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2684.5058""","=""0.0007""","=""2684.50618""","=""0.00013""","=""2000""","=""1.9e+07""",D+,"=""62322.445""","=""99573.244""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2684.5715""","=""0.0009""","=""2684.57003""","=""0.00022""","=""1000bl(Fe II)*""","=""""",,"=""54904.241""","=""92154.154""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""",,"=""""","=""L18349c148""",
"=""2684.5715""","=""0.0009""","=""2684.57154""","=""0.00014""","=""1000bl(Fe II)*""","=""3.2e+06""",D+,"=""69650.481""","=""106900.373""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2684.637""","=""0.005""","=""2684.62639""","=""0.00012""","=""120d""","=""""",,"=""67516.328""","=""104765.459""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(3H).4d""","=""2I""","=""11/2""",,"=""""","=""L18349c142""",
"=""2684.8644""","=""0.0002""","=""2684.86627""","=""0.00022""","=""15000bl(Fe I)""","=""""",,"=""57493.333""","=""94739.136""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L18349c148""",
"=""2684.938""","=""0.005""","=""2684.92927""","=""0.00013""","=""220""","=""""",,"=""65580.065""","=""102824.994""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3G).5s""","=""f 4G""","=""9/2""",,"=""""","=""L18349c142""",
"=""2685.102""","=""0.003""","=""2685.10222""","=""0.00012""","=""800""","=""1.9e+06""",D+,"=""60887.606""","=""98130.136""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""","=""3d6.(3H).5s""","=""e 4H""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2685.2252""","=""0.0012""","=""2685.22587""","=""0.00017""","=""600""","=""8.e+06""",D+,"=""65931.358""","=""103172.173""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3G).5s""","=""f 4G""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2685.55059""","=""0.00013""","=""2685.55065""","=""0.00012""","=""150000""","=""1.57e+08""",B+,"=""30764.4737""","=""68000.785""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2685.757""","=""0.002""","=""2685.75611""","=""0.00013""","=""1800""","=""6.4e+05""",C,"=""25428.7893""","=""62662.252""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3H).4p""","=""z 2I*""","=""11/2""",,"=""T7158""","=""L18349c139""",
"=""2686.333""","=""0.002""","=""2686.32989""","=""0.00012""","=""600""","=""3.5e+06""",D+,"=""66589.042""","=""103814.552""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""","=""3d6.(5D).5d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2686.385""","=""0.005""","=""2686.3805""","=""0.0005""","=""100d""","=""""",,"=""72261.742""","=""109486.551""","=""3d6.(1G2).4p""","=""x 2H*""","=""11/2""","=""3d5.4s.(7S).4d""","=""8D""","=""11/2""",,"=""""","=""L18349c142""",
"=""2686.626""","=""0.005""","=""2686.62817""","=""0.00013""","=""170d?""","=""3.2e+06""",D+,"=""65363.607""","=""102584.984""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3G).5s""","=""f 4G""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
"=""2686.7613""","=""0.0012""","=""2686.76106""","=""0.00013""","=""600""","=""1.9e+06""",D+,"=""66463.542""","=""103683.078""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(5D).5d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2686.9035""","=""0.0009""","=""2686.90306""","=""0.00012""","=""2700""","=""9.e+05""",D,"=""26055.4120""","=""63272.981""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2687.01467""","=""0.00017""","=""2687.01475""","=""0.00016""","=""5000""","=""1.33e+08""",B+,"=""71432.690""","=""108648.712""","=""3d6.(1I).4p""","=""z 2K*""","=""15/2""","=""3d6.(1I).5s""","=""2I""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
