obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2580.1843""","=""0.0003""","=""2580.18413""","=""0.00012""","=""8000bl(Fe II)*""","=""7.3e+06""",D+,"=""26352.7671""","=""65109.691""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2580.1843""","=""0.0003""","=""2580.18494""","=""0.00012""","=""8000bl(Fe II)*""","=""8.e+05""",D,"=""27620.4033""","=""66377.315""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2580.4115""","=""0.0005""","=""2580.41382""","=""0.00011""","=""2600""","=""""",,"=""62945.045""","=""101698.519""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d6.(5D).6s""","=""6D""","=""9/2""",,"=""""","=""L18349c145""",
"=""2580.6159""","=""0.0005""","=""2580.61466""","=""0.00011""","=""1300bl(Fe I)""","=""1.3e+06""",D,"=""66377.315""","=""105127.773""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(5D).5d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2580.783""","=""0.005""","=""2580.78550""","=""0.00011""","=""700?""","=""""",,"=""23317.6351""","=""62065.528""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2580.900""","=""0.002""","=""2580.89977""","=""0.00011""","=""1400""","=""2.2e+06""",D+,"=""44232.5398""","=""82978.717""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2581.435""","=""0.005""","=""2581.43105""","=""0.00020""","=""110""","=""""",,"=""74498.093""","=""113236.296""","=""3d6.(3D).4p""","=""x 2D*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c143""",
"=""2581.4935""","=""0.0009""","=""2581.49334""","=""0.00015""","=""2400""","=""2.2e+06""",D,"=""33501.2957""","=""72238.564""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2581.8116""","=""0.0002""","=""2581.81447""","=""0.00011""","=""29000""","=""""",,"=""45079.9019""","=""83812.352""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c145""",
"=""2581.88420""","=""0.00016""","=""2581.88401""","=""0.00012""","=""18000""","=""7.6e+06""",B,"=""23317.6351""","=""62049.042""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""",,"=""T7503""","=""L18349c139""",
"=""2581.9371""","=""0.0015""","=""2581.93480""","=""0.00011""","=""700""","=""6.4e+06""",D+,"=""61093.406""","=""99824.051""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3F2).5s""","=""f 4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2582.080""","=""0.005""","=""2582.07746""","=""0.00020""","=""900""","=""""",,"=""48039.109""","=""86767.614""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2582.399""","=""0.005""","=""2582.3997""","=""0.0004""","=""60d?""","=""""",,"=""84527.806""","=""123251.479""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c142""",
"=""2582.5512""","=""0.0003""","=""2582.55112""","=""0.00012""","=""2200""","=""2.4e+07""",D+,"=""68000.785""","=""106722.187""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
