#WAVELENGTH FLUX ERROR_LOWER ERROR_UPPER
155.39281845580143 8.765815090673623e-17 7.838102706683339e-17 7.05911730463269e-17
155.70360409271302 1.547172665084001e-17 1.4156872843477108e-17 1.2432556278045144e-17
156.01501130089844 3.816778358587811e-17 3.0132341677838706e-17 6.691000756374742e-17
156.32704132350025 6.701783921686331e-17 6.103570581105581e-17 5.599516469850572e-17
156.63969540614727 2.3955767558676876e-16 2.194485346718687e-16 2.0283334795820608e-16
156.95297479695955 8.36300555086319e-17 6.801187610094508e-17 6.368900449035768e-17
157.26688074655345 3.776457806039113e-17 3.1678913132887884e-17 3.3419882365500244e-17
157.58141450804658 1.1292161578000678e-15 1.0970420726974416e-15 7.42159908688872e-16
157.89657733706267 2.9161273572909036e-16 2.7859626934382995e-16 2.061576742056045e-16
158.21237049173678 1.3914066089348337e-16 1.3427975357404002e-16 1.1733093253155348e-16
158.52879523272026 1.3508723835840594e-16 1.253637857440712e-16 9.88040850687334e-17
158.8458528231857 3.906790897190114e-16 3.793604294579509e-16 3.180241288022766e-16
159.16354452883206 1.593772651627346e-16 1.5327434433850042e-16 1.3981418895962217e-16
159.48187161788974 5.200284384233146e-17 4.921804980932514e-17 4.155624440788193e-17
159.8008353611255 6.644190028498981e-17 6.057092002323606e-17 5.015243705004655e-17
160.12043703184773 4.321754260957638e-16 4.1959729478797603e-16 2.948701748442315e-16
160.44067790591146 3.245233276209973e-16 2.9967814705800785e-16 2.5434760366997033e-16
160.76155926172328 8.504995830657699e-17 8.079205713127967e-17 7.881011472584602e-17
161.0830823802467 7.597653262625322e-17 6.75906303515787e-17 6.730879112586469e-17
161.4052485450072 1.511095277765501e-16 1.4610673386409467e-16 1.0057792470517379e-16
161.72805904209721 2.7744875306475004e-16 2.49902610517392e-16 1.8858264396323518e-16
162.05151516018142 9.286587931295519e-17 8.028915853332702e-17 6.274052707303974e-17
162.37561819050177 3.09003023584724e-16 2.9847019783750577e-16 2.705113921772623e-16
162.7003694268828 1.1840084683443417e-16 9.742292144989995e-17 1.157125029548821e-16
163.02577016573653 7.217895496345189e-17 6.690909919933128e-17 4.9586688320007636e-17
163.351821706068 3.437897984429847e-17 3.317608180595859e-17 3.168340682843903e-17
163.67852534948014 1.274168542899797e-16 1.2099049204320403e-16 1.1987325501240594e-16
164.00588240017908 8.533077100484961e-16 7.995136359964262e-16 6.090446226981789e-16
164.33389416497945 1.974404009290162e-16 1.8937927599859675e-16 1.5382884424680168e-16
164.66256195330942 5.416329016320563e-16 5.161782230808211e-16 4.0916599518310865e-16
164.99188707721603 1.4693243193809762e-16 1.3421069892102101e-16 1.377877781196218e-16
165.32187085137048 1.4290153130360732e-16 1.1330577003468595e-16 1.7393588571907356e-16
165.65251459307325 2.269491347630199e-16 2.1878048678683975e-16 1.7470680496427024e-16
165.98381962225938 5.107204224315049e-17 4.8585796975424295e-17 4.730983893769364e-17
166.31578726150389 2.6595210826776403e-16 2.5511208055088897e-16 2.295643351437237e-16
166.64841883602688 1.3957166821673283e-16 1.1726023689381957e-16 1.6476241099210172e-16
166.98171567369894 1.8587305373567798e-16 1.7471333275484704e-16 1.4867065009694089e-16
