READ SERR 1
@GJ699all_model.pco
!
5.33267832 1.14681153E-2 1.29372523E-7
5.3098402 1.13700973E-2 1.26526629E-7
5.28719664 1.12733301E-2 1.69798966E-7
5.26474571 1.11777941E-2 1.21862868E-7
5.24248457 1.10834669E-2 1.20248103E-7
5.22041035 1.09905889E-2 1.65189405E-7
5.19852161 1.08983573E-2 1.18862459E-7
5.17681551 1.08075375E-2 1.29870799E-7
5.15529013 1.07178483E-2 1.28872273E-7
5.13394308 1.06292712E-2 1.25340804E-7
5.11277199 1.05417874E-2 2.49377791E-7
5.09177494 1.04553793E-2 6.05260539E-7
5.07094955 1.03700291E-2 3.75419546E-7
5.05029345 1.02857202E-2 4.72727407E-7
5.02980566 1.02024358E-2 6.62044386E-7
5.00948286 1.01201581E-2 1.05219861E-7
4.98932409 1.00388713E-2 1.03327864E-7
4.9693265 9.95856058E-3 1.01632516E-7
4.94948864 9.8792091E-3 1.05969519E-7
4.92980862 9.80080292E-3 9.86297337E-8
4.91028452 9.72332619E-3 1.01869851E-7
4.89091444 9.64676496E-3 9.58572741E-8
4.87169647 9.57110431E-3 9.45501526E-8
4.85262918 9.49633028E-3 9.32148012E-8
4.83371019 9.42242891E-3 9.45401979E-8
4.81493855 9.34938621E-3 9.09156341E-8
4.79631186 9.27719101E-3 8.99170089E-8
4.77782917 9.20582749E-3 9.13224767E-8
4.75948763 9.13528539E-3 8.69043646E-8
4.74128723 9.06554982E-3 8.85683633E-8
4.72322464 8.99682473E-3 8.87399096E-8
4.70529938 8.92845262E-3 8.36740028E-8
4.68751001 8.86106864E-3 8.24014776E-8
4.66985416 8.79444368E-3 8.11820584E-8
4.65233135 8.72856844E-3 7.8826929E-8
4.63493919 8.66342988E-3 7.7773592E-8
4.61767673 8.59901775E-3 7.67136115E-8
4.60054255 8.53532087E-3 7.55932348E-8
4.58353472 8.47232994E-3 7.49748139E-8
4.56665277 8.41003377E-3 7.39707318E-8
4.54989386 8.34842119E-3 7.25519342E-8
4.53325796 8.28748383E-3 7.14273938E-8
4.51674366 8.22721142E-3 7.15173911E-8
4.50034857 8.16759374E-3 8.85100491E-8
4.48407269 8.10862239E-3 7.19899873E-8
4.46791363 8.05028714E-3 7.66722437E-8
4.45187092 7.99257867E-3 9.30248945E-8
4.43594265 7.93548953E-3 6.6367015E-8
4.42012835 7.87900854E-3 6.67777655E-8
4.4044261 7.82312918E-3 6.42634177E-8
4.38883495 7.76784215E-3 1.17388076E-7
4.37335396 7.71313952E-3 6.71520866E-8
4.35798168 7.65901199E-3 6.07944344E-8
4.34271717 7.60545256E-3 5.9614365E-8
4.32755947 7.55245285E-3 5.85437512E-8
4.31250668 7.50018377E-3 5.76903219E-8
4.29755878 7.44810095E-3 1.21701319E-7
4.28271389 7.39673479E-3 5.59964306E-8
4.26797104 7.34589808E-3 5.51735937E-8
4.25332975 7.29558384E-3 5.4350501E-8
4.23878813 7.24578463E-3 5.35406279E-8
4.22434616 7.19649391E-3 5.26913588E-8
4.21000195 7.14770425E-3 5.18574303E-8
4.19575453 7.09940866E-3 7.27105629E-8
4.18160343 7.05160154E-3 5.65889984E-8
4.1675477 7.00427545E-3 4.94418657E-8
4.15358591 6.95742387E-3 4.95361228E-8
4.13971758 6.91104122E-3 4.79180358E-8
4.12594128 6.86512049E-3 4.72381068E-8
4.11225653 6.81965658E-3 5.74046481E-8
4.09866238 6.77464204E-3 4.8907296E-8
4.08515787 6.7300722E-3 6.5105759E-8
4.07174158 6.68594055E-3 4.71655106E-8
4.05841351 6.6422415E-3 4.3870223E-8
4.04517221 6.59896992E-3 4.3340183E-8
4.03201723 6.5561193E-3 4.24482494E-8
4.0189476 6.51368499E-3 4.38773675E-8
4.00596189 6.47166139E-3 4.35096865E-8
3.99306035 6.43004291E-3 1.37784596E-7
3.98024154 6.3888249E-3 6.01717502E-8
3.9675045 6.34815264E-3 7.98527111E-8
3.95484877 6.30756747E-3 1.40972617E-7
3.94227362 6.26751967E-3 3.90713417E-8
3.92977834 6.22785185E-3 3.73782925E-8
3.91736197 6.18855935E-3 3.93150081E-8
3.90502357 6.14963751E-3 3.78457443E-8
3.8927629 6.11108169E-3 3.67112989E-8
3.88057899 6.07288769E-3 3.60230317E-8
3.86847115 6.03505038E-3 3.65267852E-8
3.8564384 5.99756557E-3 3.46241791E-8
3.84448051 5.96042909E-3 3.38993829E-8
3.8325963 5.92363626E-3 3.35904673E-8
3.82078552 5.88718336E-3 3.30257599E-8
3.80904722 5.85106574E-3 3.25167946E-8
3.79738092 5.8152792E-3 3.20963203E-8
3.78578591 5.77982049E-3 3.3130938E-8
3.77426147 5.74468449E-3 3.10428767E-8
3.76280689 5.70986839E-3 3.05207166E-8
3.75142169 5.67536755E-3 3.00428518E-8
3.74010491 5.64117869E-3 2.95964746E-8
3.72885656 5.60729764E-3 2.91518809E-8
3.71767545 5.57372114E-3 2.8623889E-8
3.70656133 5.54044545E-3 2.81417378E-8
3.69551349 5.50746638E-3 2.80607733E-8
3.68453121 5.47478115E-3 2.78128223E-8
3.67361403 5.44251548E-3 2.70308149E-8
3.66276121 5.41027682E-3 2.65333835E-8
3.65197229 5.37845166E-3 2.6139265E-8
3.64124703 5.34690684E-3 2.57612118E-8
3.63058448 5.31563815E-3 2.53391406E-8
3.61998415 5.28464327E-3 2.5144379E-8
3.60944557 5.25391847E-3 2.47581067E-8
3.59896827 5.22346143E-3 2.46666723E-8
3.58855152 5.19326795E-3 2.39068747E-8
3.57819486 5.16333571E-3 2.36237003E-8
3.56789804 5.13366098E-3 2.67632654E-8
3.5576601 5.10424189E-3 2.3467317E-8
3.54748082 5.07507473E-3 2.37399007E-8
3.53735948 5.04615717E-3 2.42456206E-8
3.52729583 5.01748594E-3 2.26138948E-8
3.5172894 4.98905824E-3 2.11877627E-8
3.50733948 4.9608713E-3 2.08309174E-8
3.49744558 4.93292278E-3 2.05106527E-8
3.48760748 4.90520988E-3 2.03100861E-8
3.47782445 4.87772981E-3 1.99295993E-8
3.46809626 4.85047977E-3 1.96358947E-8
3.45842242 4.82345745E-3 1.96395771E-8
3.44880223 4.79666051E-3 1.95893293E-8
3.43923545 4.77008661E-3 1.89949443E-8
3.42972159 4.74373251E-3 2.72813399E-8
3.42026019 4.7177081E-3 2.01769659E-8
3.41085076 4.69167484E-3 1.78847621E-8
3.40149331 4.66596708E-3 1.76916597E-8
3.39218688 4.64046979E-3 1.72481034E-8
3.38293123 4.61518113E-3 1.6983762E-8
3.37372589 4.59009875E-3 1.69927237E-8
3.36457062 4.56522033E-3 2.0655694E-8
